#group,false,false,true,true,false,false,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string,string,string
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,host,location,room
,,1,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T04:49:20.016166535Z,3274,eco2,monitor_task,ESP32-5,urbino,Turing
,,1,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T04:54:44.923386973Z,3271,eco2,monitor_task,ESP32-5,urbino,Turing
,,1,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T05:00:09.530220487Z,3277,eco2,monitor_task,ESP32-5,urbino,Turing
,,1,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T05:05:34.170020645Z,3269,eco2,monitor_task,ESP32-5,urbino,Turing
,,1,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T05:10:58.958747944Z,3262,eco2,monitor_task,ESP32-5,urbino,Turing
,,1,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T05:16:23.59462444Z,3262,eco2,monitor_task,ESP32-5,urbino,Turing
,,1,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T05:21:47.990162537Z,3263,eco2,monitor_task,ESP32-5,urbino,Turing
,,1,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T05:27:12.550971063Z,3255,eco2,monitor_task,ESP32-5,urbino,Turing
,,1,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T05:32:37.442999339Z,3267,eco2,monitor_task,ESP32-5,urbino,Turing
,,1,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T05:38:02.266088836Z,3254,eco2,monitor_task,ESP32-5,urbino,Turing
